left_arm,right_arm,left_elbow,right_elbow,left_waist_leg,right_waist_leg,left_knee,right_knee,leftup_chest_inside,rightup_chest_inside,leftlow_chest_inside,rightlow_chest_inside,leg_spread,Label,Sequence
156.70128035301616,158.9575443309718,0.9631668229411109,6.64838384502419,8.776493607842161,12.404587369016793,2.1777674273347762,4.657126441738513,98.37497136827528,96.95755905926195,86.46734297878201,87.68410647189616,145.37957355877117,Entry,0
156.69825404949165,158.95549072267332,0.9678647040425558,6.5968935079326165,8.78202001230424,12.378346768987537,2.1766436451350786,4.6279722189003385,98.38220225563704,96.94388024457832,86.46738355837353,87.69833216055004,145.39151720514747,Entry,0
156.69985193196007,158.97079983471923,0.9690094821660452,6.5948514811544845,8.799241929427767,12.367663284232005,2.152498884746703,4.604939970676959,98.37865466553316,96.94954117236966,86.48358850791072,87.6777021163323,145.3751462414573,Entry,0
156.70094375367094,158.97597995729052,0.9650640479712054,6.602692542886862,8.787084187226798,12.365742808504756,2.175157751176975,4.598450357759731,98.38442644787924,96.94294287087297,86.50355221136356,87.6709901116571,145.38328997390502,Entry,0
156.70088411890862,158.99752288103596,0.963269891268162,6.606588573658776,8.791994342073064,12.325968935396178,2.1636555055979225,4.559170840434072,98.38068568032932,96.93104843253077,86.49589916916565,87.69787166622517,145.3859948270602,Entry,0
156.70748858642378,158.9977609100452,0.969929762148609,6.592286036937264,8.768435897047343,12.332661805157779,2.1712892264867696,4.544140089981228,98.37465152908067,96.9298755082646,86.51181934353757,87.69160999160256,145.37821657520746,Entry,0
156.70927780930805,159.0107587742345,0.9970940365735961,6.56440748288955,8.780280390929214,12.32954870763295,2.0880531000294047,4.544835213471995,98.37727906579542,96.91044676674449,86.56805190607206,87.60984482790573,145.3375624738964,Entry,0
156.7110269892659,159.00481303417962,1.0125538114759645,6.541890096727317,8.772698040543263,12.330021330832157,2.080200608239606,4.541183466080914,98.3743740697296,96.90846388176335,86.53601487400624,87.64410370611131,145.34293428511452,Entry,0
156.7051102549159,158.99862147732117,1.0166277703974884,6.530569186831907,8.784731079932133,12.315936208235055,2.071624701141363,4.5288464241319,98.38174130639446,96.89879759291688,86.53743198547369,87.64243962567038,145.34343462096487,Entry,0
156.68686513865606,159.00440087579435,1.0285502090745926,6.539181245881711,8.817987506050098,12.301288189780168,2.048833664866445,4.504365024467273,98.39975292940517,96.89028726138667,86.4890597009882,87.68170479397337,145.3391461047439,Entry,0
156.68391589473873,158.98963441616075,0.9993024516555233,6.579809290882943,8.829388833774109,12.286900118619103,2.070719826503119,4.4866013587075155,98.42150805732263,96.87810861143488,86.49072315160194,87.69260456476242,145.34325441857163,Entry,0
156.67657798819675,158.95873105799723,1.001777289841534,6.488147003704773,8.805295934886821,12.2457834932078,2.142270614711172,4.475947485467404,98.43480166441121,96.83427080429746,86.51760483664675,87.70038820396731,145.3920001789819,Entry,0
156.67311729688464,158.94035726137304,1.0084097084518802,6.433596857641485,8.801475457227745,12.213039732297618,2.154911044722249,4.465953725077003,98.4441262556365,96.79337391885934,86.51335544326055,87.70962954170994,145.38019155261648,Entry,0
156.66729746155914,158.93280468117288,1.0159402152380532,6.411120905532501,8.794925672136282,12.198590097444047,2.1850326586209072,4.48804518440193,98.45222649946439,96.76819699365589,86.50538085983133,87.7215268637086,145.3870661785994,Entry,0
156.66710569888343,158.90214642918295,1.0191461406493845,6.365070784983902,8.753978561565631,12.198520681836836,2.2429745187412995,4.497918669338646,98.46655013011983,96.73970660419833,86.54907270092478,87.70468478999085,145.4188917137256,Entry,0
156.67727187246504,158.86581535097756,0.9586786330958571,6.359438974076182,8.763811435253956,12.169827782846724,2.2517337661132704,4.4600708934459075,98.49736324652795,96.70822250019309,86.5623070097904,87.70963951882992,145.44007482323053,Entry,0
156.68016150429162,158.84719621235524,0.9544213818802348,6.348263009057762,8.765108225131694,12.152674357851813,2.2516334407012173,4.460194467391496,98.49880401436532,96.6873277197124,86.53450856019526,87.73384059089892,145.43072732951904,Entry,0
156.694669701503,158.78968060182672,0.949200645999576,6.25835156896762,8.75825105151409,12.160837883381008,2.218983212055451,4.462664226343162,98.49549900239312,96.67749722003292,86.53856182204613,87.71534546548476,145.43194611981934,Entry,0
156.72781287756501,158.71450095663994,0.9095165913040771,6.150556899577327,8.731061740989887,12.15779198249857,2.2499330186436906,4.468901692944031,98.48846806917139,96.674012580126,86.59395584193351,87.67967108387545,145.44725086263233,Entry,0
156.7378137543749,158.66652542882298,0.8980911139967502,6.0671511654856705,8.70438679996311,12.137097592496508,2.3331426903512864,4.438446023121139,98.48798116402361,96.67685655423226,86.64326346896274,87.68008985683342,145.49073678471316,Entry,0
156.73900839075299,158.6382024787333,0.9100705649752628,6.069724879319476,8.694193146046736,12.109665927587455,2.361137532340647,4.3850049529180595,98.49426094479412,96.66815949886988,86.64337743776306,87.71518393226684,145.51394033937478,Entry,0
156.7490786152813,158.60999604286863,0.9066314038000989,6.078517343521124,8.679291788904651,12.086959778881402,2.3922542004093095,4.315540551342795,98.49534436194251,96.66613681063035,86.64663223708642,87.74859736770044,145.5483923898855,Entry,0
156.75140073055928,158.58719495704142,0.9004310346080698,6.095439348224995,8.673242575266748,12.048931811150362,2.404103309126957,4.23502185618406,98.49776178329944,96.66541144204422,86.65528494314239,87.78571389578423,145.5926552388566,Entry,0
156.72289268620474,158.55967069744807,0.890919480186767,6.0949422006333265,8.655221069018,12.03814529325207,2.4252174648715057,4.213935553597758,98.49942774549854,96.65333371981107,86.6643903519262,87.79500475111332,145.6163506750956,Entry,0
